"date","year_quarter","transition_type","count","total_active","share"
2016-10-01,"2016-Q4","wage_self → wage_only",6649.29172638729,13883968.6941974,0.0478918663160502
2016-10-01,"2016-Q4","wage_only → self_only",5722.10425726131,13883968.6941974,0.0412137507890865
2016-10-01,"2016-Q4","self_only → self_self",4845.38327107776,13883968.6941974,0.0348991227061957
2016-10-01,"2016-Q4","wage_wage → self_only",3537.27500170719,13883968.6941974,0.0254774054855478
2016-10-01,"2016-Q4","wage_wage → self_wage",3389.57287982069,13883968.6941974,0.0244135733411536
2016-10-01,"2016-Q4","self_wage → wage_wage",3234.33073022128,13883968.6941974,0.0232954337585982
2016-10-01,"2016-Q4","self_self → self_only",1735.95664575806,13883968.6941974,0.0125033171998117
2016-10-01,"2016-Q4","self_self → wage_only",1599.94988040903,13883968.6941974,0.0115237214635733
2016-10-01,"2016-Q4","wage_self → self_only",1486.62736668694,13883968.6941974,0.0107075102186614
2016-10-01,"2016-Q4","wage_self → self_wage",523.186126368564,13883968.6941974,0.00376827503642543
2016-10-01,"2016-Q4","wage_wage → wage_self",219.120274431251,13883968.6941974,0.00157822506847648
2017-01-01,"2017-Q1","No transition",9659031.36917152,13808288.6662765,69.9509664275882
2017-01-01,"2017-Q1","wage_only → self_wage",39072.7943922721,13808288.6662765,0.282966233807802
2017-01-01,"2017-Q1","wage_only → wage_wage",30861.3955281044,13808288.6662765,0.223499061136202
2017-01-01,"2017-Q1","wage_only → wage_self",15395.9189252516,13808288.6662765,0.111497661276828
2017-01-01,"2017-Q1","self_wage → wage_only",13761.2802128864,13808288.6662765,0.0996595635090907
2017-01-01,"2017-Q1","wage_wage → wage_only",11287.072909037,13808288.6662765,0.0817412872936456
2017-01-01,"2017-Q1","wage_only → self_only",9421.06156680951,13808288.6662765,0.0682275826824091
2017-01-01,"2017-Q1","wage_wage → self_only",8228.79005372453,13808288.6662765,0.0595931201367584
2017-01-01,"2017-Q1","self_only → wage_only",7496.15249929081,13808288.6662765,0.0542873391515809
2017-01-01,"2017-Q1","self_only → wage_wage",6509.40063673707,13808288.6662765,0.0471412554738572
2017-01-01,"2017-Q1","wage_self → wage_only",5435.58826916766,13808288.6662765,0.0393646772640466
2017-01-01,"2017-Q1","self_only → self_self",5181.86438362759,13808288.6662765,0.0375272020223845
2017-01-01,"2017-Q1","wage_wage → self_wage",4177.63665137449,13808288.6662765,0.0302545576236206
2017-01-01,"2017-Q1","self_only → wage_self",2364.55076665922,13808288.6662765,0.0171241406071853
2017-01-01,"2017-Q1","self_wage → wage_wage",1960.53623904421,13808288.6662765,0.0141982564706397
2017-01-01,"2017-Q1","self_self → self_only",1600.76918968857,13808288.6662765,0.0115928137684293
2017-01-01,"2017-Q1","wage_self → self_only",1328.72777442651,13808288.6662765,0.00962268248107835
2017-01-01,"2017-Q1","self_wage → wage_self",422.563009307377,13808288.6662765,0.00306021274265064
2017-04-01,"2017-Q2","No transition",9890787.50318092,14150793.0550825,69.8956409346151
2017-04-01,"2017-Q2","wage_only → self_wage",34321.8207119225,14150793.0550825,0.242543443171867
2017-04-01,"2017-Q2","wage_only → wage_wage",27839.3362366162,14150793.0550825,0.196733399522207
2017-04-01,"2017-Q2","self_wage → wage_only",26030.4681116622,14150793.0550825,0.183950595633316
2017-04-01,"2017-Q2","wage_wage → wage_only",16543.5470384234,14150793.0550825,0.116908974458371
2017-04-01,"2017-Q2","wage_only → wage_self",12007.8759826548,14150793.0550825,0.0848565584692932
2017-04-01,"2017-Q2","wage_only → self_only",8968.59494724771,14150793.0550825,0.0633787443031433
2017-04-01,"2017-Q2","self_only → self_self",8905.14426151035,14150793.0550825,0.0629303546935266
2017-04-01,"2017-Q2","self_only → wage_only",8295.65826707072,14150793.0550825,0.0586232745739377
2017-04-01,"2017-Q2","self_only → wage_wage",7527.80145489617,14150793.0550825,0.0531970287855522
2017-04-01,"2017-Q2","wage_self → self_only",6652.68856481346,14150793.0550825,0.0470128319940629
2017-04-01,"2017-Q2","wage_self → wage_only",4540.84082689493,14150793.0550825,0.0320889494265059
2017-04-01,"2017-Q2","wage_wage → self_only",3133.23123744068,14150793.0550825,0.0221417359807642
2017-04-01,"2017-Q2","wage_wage → self_wage",2418.93566579203,14150793.0550825,0.0170939936466899
2017-04-01,"2017-Q2","wage_wage → wage_self",1758.1599154215,14150793.0550825,0.0124244620677993
2017-04-01,"2017-Q2","self_self → self_only",1057.61416822124,14150793.0550825,0.00747388619213377
2017-04-01,"2017-Q2","self_wage → wage_wage",996.251079337236,14150793.0550825,0.00704024909034631
2017-04-01,"2017-Q2","self_wage → self_only",653.026500980093,14150793.0550825,0.00461476963473469
2017-04-01,"2017-Q2","wage_self → self_self",457.091512724696,14150793.0550825,0.00323014767402399
2017-07-01,"2017-Q3","No transition",9852348.53656479,14122967.5669663,69.761177952497
2017-07-01,"2017-Q3","wage_only → self_wage",36432.9524496405,14122967.5669663,0.257969525716801
2017-07-01,"2017-Q3","self_wage → wage_only",25461.1321603975,14122967.5669663,0.180281743476854
2017-07-01,"2017-Q3","wage_only → wage_wage",22761.82810648,14122967.5669663,0.161168876148382
2017-07-01,"2017-Q3","wage_wage → wage_only",13087.5331022303,14122967.5669663,0.0926684355831992
2017-07-01,"2017-Q3","wage_only → wage_self",10531.6868918388,14122967.5669663,0.074571345164542
2017-07-01,"2017-Q3","wage_self → wage_only",7330.00172993435,14122967.5669663,0.0519012855844778
2017-07-01,"2017-Q3","self_only → wage_wage",6572.2176181251,14122967.5669663,0.0465356702616634
2017-07-01,"2017-Q3","wage_wage → self_only",6088.26739212148,14122967.5669663,0.0431089809082475
2017-07-01,"2017-Q3","wage_only → self_only",5005.69017652538,14122967.5669663,0.0354436144725965
2017-07-01,"2017-Q3","self_only → self_self",3937.80252633805,14122967.5669663,0.027882259926367
2017-07-01,"2017-Q3","self_only → wage_only",3906.09346814588,14122967.5669663,0.0276577387126645
2017-07-01,"2017-Q3","self_wage → self_only",3019.09008028739,14122967.5669663,0.0213771650042521
2017-07-01,"2017-Q3","wage_self → self_only",2798.17392726676,14122967.5669663,0.019812931765217
2017-07-01,"2017-Q3","self_wage → wage_wage",2643.31061743678,14122967.5669663,0.0187163965710684
2017-07-01,"2017-Q3","wage_wage → self_wage",2613.0016450762,14122967.5669663,0.0185017888958977
2017-07-01,"2017-Q3","wage_wage → wage_self",1868.18050332436,14122967.5669663,0.0132279600194937
2017-07-01,"2017-Q3","self_self → wage_self",1583.09823831855,14122967.5669663,0.0112093880468962
2017-07-01,"2017-Q3","self_self → self_only",877.527184971607,14122967.5669663,0.00621347589173927
2017-07-01,"2017-Q3","self_only → wage_self",734.00299145476,14122967.5669663,0.00519722917987574
2017-07-01,"2017-Q3","self_wage → wage_self",619.491315758754,14122967.5669663,0.00438641038309645
2017-07-01,"2017-Q3","self_self → wage_wage",408.054229395413,14122967.5669663,0.00288929523813291
2017-10-01,"2017-Q4","No transition",9663038.308711,14270124.3486724,67.7151654225776
2017-10-01,"2017-Q4","wage_only → self_wage",31565.5348791704,14270124.3486724,0.221200138890921
2017-10-01,"2017-Q4","wage_only → wage_wage",28844.9281291163,14270124.3486724,0.202135086032379
2017-10-01,"2017-Q4","self_wage → wage_only",22629.5192545713,14270124.3486724,0.158579692101118
2017-10-01,"2017-Q4","wage_wage → wage_only",16820.2693924435,14270124.3486724,0.117870517323196
2017-10-01,"2017-Q4","wage_only → wage_self",14845.0510976558,14270124.3486724,0.104028883946179
2017-10-01,"2017-Q4","wage_only → self_only",8157.32423553799,14270124.3486724,0.0571636520903682
2017-10-01,"2017-Q4","self_only → wage_wage",7122.91530214074,14270124.3486724,0.0499148790024624
2017-10-01,"2017-Q4","self_only → wage_only",6335.46752101242,14270124.3486724,0.0443967225947954
2017-10-01,"2017-Q4","self_wage → wage_wage",5410.5916523547,14270124.3486724,0.0379155186048402
2017-10-01,"2017-Q4","self_only → self_self",3936.47090548917,14270124.3486724,0.0275854001640526
2017-10-01,"2017-Q4","wage_self → wage_only",3918.91228412988,14270124.3486724,0.0274623555364777
2017-10-01,"2017-Q4","wage_wage → self_only",3119.40757828948,14270124.3486724,0.0218597084515224
2017-10-01,"2017-Q4","wage_self → wage_wage",2751.32291066424,14270124.3486724,0.0192803008820327
2017-10-01,"2017-Q4","wage_wage → self_wage",1392.69789683279,14270124.3486724,0.00975953581625491
2017-10-01,"2017-Q4","self_self → self_only",1229.84274826307,14270124.3486724,0.00861830435540314
2017-10-01,"2017-Q4","wage_self → self_wage",989.814140132078,14270124.3486724,0.0069362685001702
2017-10-01,"2017-Q4","self_self → wage_only",735.686795620105,14270124.3486724,0.00515543367138599
2017-10-01,"2017-Q4","wage_self → self_only",631.907428191954,14270124.3486724,0.0044281844555247
2017-10-01,"2017-Q4","self_wage → self_only",209.187457325134,14270124.3486724,0.00146591194452063
2018-01-01,"2018-Q1","No transition",9925690.95448807,14541659.2345021,68.2569354323612
2018-01-01,"2018-Q1","wage_only → self_wage",38541.1694729669,14541659.2345021,0.265039696305926
2018-01-01,"2018-Q1","wage_only → wage_wage",30842.8951060189,14541659.2345021,0.212100246668138
2018-01-01,"2018-Q1","self_wage → wage_only",19846.1597671914,14541659.2345021,0.136477959269625
2018-01-01,"2018-Q1","wage_only → wage_self",11941.7662245043,14541659.2345021,0.0821210704495871
2018-01-01,"2018-Q1","wage_only → self_only",11192.6286242247,14541659.2345021,0.0769694052358805
2018-01-01,"2018-Q1","wage_wage → wage_only",10994.0816108937,14541659.2345021,0.0756040382572623
2018-01-01,"2018-Q1","self_only → wage_wage",10870.9011010534,14541659.2345021,0.0747569512237
2018-01-01,"2018-Q1","wage_self → wage_only",9371.54461023976,14541659.2345021,0.0644461849855792
2018-01-01,"2018-Q1","self_only → self_self",6098.2150862903,14541659.2345021,0.0419361710238777
2018-01-01,"2018-Q1","self_wage → wage_wage",5184.92639497517,14541659.2345021,0.0356556725155079
2018-01-01,"2018-Q1","self_only → wage_only",5136.81531267347,14541659.2345021,0.0353248224967731
2018-01-01,"2018-Q1","wage_wage → self_only",2756.0104615124,14541659.2345021,0.0189525171582442
2018-01-01,"2018-Q1","wage_self → self_only",2375.66373431367,14541659.2345021,0.0163369509352625
2018-01-01,"2018-Q1","wage_wage → self_wage",1503.88239426485,14541659.2345021,0.0103418899453832
2018-01-01,"2018-Q1","self_self → self_only",1437.1568746293,14541659.2345021,0.00988303226924369
2018-01-01,"2018-Q1","wage_self → wage_wage",621.275610409529,14541659.2345021,0.00427238460474626
2018-01-01,"2018-Q1","self_self → self_wage",567.196225473129,14541659.2345021,0.00390049179620011
2018-01-01,"2018-Q1","self_self → wage_wage",483.535112473795,14541659.2345021,0.00332517152737661
2018-01-01,"2018-Q1","self_only → wage_self",269.215252068418,14541659.2345021,0.00185133792318327
2018-01-01,"2018-Q1","wage_wage → wage_self",268.52989877753,14541659.2345021,0.00184662488954773
2018-01-01,"2018-Q1","self_wage → wage_self",256.571307541418,14541659.2345021,0.00176438811695345
2018-04-01,"2018-Q2","No transition",10644264.7333945,14725883.6402676,72.2826894019994
2018-04-01,"2018-Q2","wage_only → wage_wage",30297.2470684968,14725883.6402676,0.205741453678539
2018-04-01,"2018-Q2","wage_only → self_wage",29503.9668448707,14725883.6402676,0.200354474920559
2018-04-01,"2018-Q2","self_wage → wage_only",19929.5379972927,14725883.6402676,0.135336788502089
2018-04-01,"2018-Q2","self_only → wage_wage",10198.1823063716,14725883.6402676,0.0692534489304594
2018-04-01,"2018-Q2","wage_only → wage_self",9997.056833074,14725883.6402676,0.0678876533136337
2018-04-01,"2018-Q2","wage_self → wage_only",7902.75415941869,14725883.6402676,0.053665738182317
2018-04-01,"2018-Q2","wage_wage → wage_only",7166.32879729723,14725883.6402676,0.048664847369166
2018-04-01,"2018-Q2","wage_only → self_only",6791.32478733207,14725883.6402676,0.0461182836509813
2018-04-01,"2018-Q2","self_only → self_self",6307.212247474,14725883.6402676,0.042830789659556
2018-04-01,"2018-Q2","self_only → wage_only",5731.19083842561,14725883.6402676,0.0389191642310264
2018-04-01,"2018-Q2","self_wage → wage_wage",5380.92809563035,14725883.6402676,0.0365406126184259
2018-04-01,"2018-Q2","wage_wage → self_only",4142.28634614445,14725883.6402676,0.0281292888585473
2018-04-01,"2018-Q2","wage_wage → self_wage",3288.13113659712,14725883.6402676,0.0223289224397088
2018-04-01,"2018-Q2","wage_wage → wage_self",2835.75134177033,14725883.6402676,0.0192569180298018
2018-04-01,"2018-Q2","wage_self → self_only",1803.42910675816,14725883.6402676,0.0122466613944084
2018-04-01,"2018-Q2","self_self → self_only",683.367658609797,14725883.6402676,0.00464058847199595
2018-04-01,"2018-Q2","wage_self → self_wage",615.38796887452,14725883.6402676,0.00417895444448409
2018-04-01,"2018-Q2","self_wage → wage_self",606.772270906684,14725883.6402676,0.0041204472731774
2018-04-01,"2018-Q2","self_self → wage_only",562.889486944127,14725883.6402676,0.00382244964509238
2018-07-01,"2018-Q3","No transition",10258196.6792486,14647547.6523303,70.0335436534088
2018-07-01,"2018-Q3","wage_only → self_wage",31800.2433281999,14647547.6523303,0.217102849453033
2018-07-01,"2018-Q3","wage_only → wage_wage",24563.0574038316,14647547.6523303,0.16769399210607
2018-07-01,"2018-Q3","self_wage → wage_only",22832.9215335957,14647547.6523303,0.1558822137026
2018-07-01,"2018-Q3","wage_wage → wage_only",14854.6047968875,14647547.6523303,0.101413595978466
2018-07-01,"2018-Q3","self_only → wage_wage",11029.5740488438,14647547.6523303,0.0752997997387573
2018-07-01,"2018-Q3","wage_only → wage_self",10781.1280081666,14647547.6523303,0.0736036383977996
2018-07-01,"2018-Q3","wage_wage → self_only",7503.30072768487,14647547.6523303,0.0512256447685369
2018-07-01,"2018-Q3","wage_wage → self_wage",5596.80972906658,14647547.6523303,0.0382098755498924
2018-07-01,"2018-Q3","self_only → wage_only",5284.43169703681,14647547.6523303,0.0360772453004862
2018-07-01,"2018-Q3","wage_self → wage_only",4485.53792398413,14647547.6523303,0.0306231324891476
2018-07-01,"2018-Q3","wage_only → self_only",4418.23830381986,14647547.6523303,0.0301636725047074
2018-07-01,"2018-Q3","self_wage → wage_wage",3531.30782317483,14647547.6523303,0.0241085259252461
2018-07-01,"2018-Q3","self_only → self_self",3318.67433053569,14647547.6523303,0.0226568597645608
2018-07-01,"2018-Q3","self_self → self_only",3250.53095019386,14647547.6523303,0.022191639360714
2018-07-01,"2018-Q3","wage_self → self_only",3236.55354452546,14647547.6523303,0.0220962144745817
2018-07-01,"2018-Q3","wage_wage → wage_self",2672.71758131713,14647547.6523303,0.0182468604626244
2018-07-01,"2018-Q3","wage_self → wage_wage",1490.33168364156,14647547.6523303,0.0101746157037042
2018-07-01,"2018-Q3","self_self → wage_only",950.795923436463,14647547.6523303,0.0064911611554662
2018-07-01,"2018-Q3","self_self → wage_self",912.507742547244,14647547.6523303,0.0062297646282248
2018-07-01,"2018-Q3","self_wage → self_only",902.37032879882,14647547.6523303,0.00616055567947077
2018-07-01,"2018-Q3","self_wage → wage_self",743.935863027306,14647547.6523303,0.00507891068651996
2018-07-01,"2018-Q3","wage_wage → self_self",687.291072670768,14647547.6523303,0.00469219209238365
2018-10-01,"2018-Q4","No transition",10037686.0247832,14730865.7133255,68.1405032136236
2018-10-01,"2018-Q4","wage_only → self_wage",33854.1452922617,14730865.7133255,0.22981775783644
2018-10-01,"2018-Q4","wage_only → wage_wage",22329.7992157847,14730865.7133255,0.151585111495417
2018-10-01,"2018-Q4","self_wage → wage_only",20766.1226050795,14730865.7133255,0.140970143976633
2018-10-01,"2018-Q4","wage_wage → wage_only",18638.1193557461,14730865.7133255,0.126524263532496
2018-10-01,"2018-Q4","self_only → wage_wage",14250.4995022103,14730865.7133255,0.096739049690198
2018-10-01,"2018-Q4","wage_only → wage_self",11433.3356953427,14730865.7133255,0.077614825345941
2018-10-01,"2018-Q4","self_wage → wage_wage",7277.54991369949,14730865.7133255,0.0494034095166329
2018-10-01,"2018-Q4","wage_only → self_only",6871.97760753045,14730865.7133255,0.0466501951838041
2018-10-01,"2018-Q4","self_only → self_self",5886.97569810361,14730865.7133255,0.0399635419443017
2018-10-01,"2018-Q4","wage_wage → self_wage",4329.89373865615,14730865.7133255,0.0293933419998482
2018-10-01,"2018-Q4","self_only → wage_only",4027.89599979856,14730865.7133255,0.0273432402289495
2018-10-01,"2018-Q4","wage_self → self_only",4011.64121737758,14730865.7133255,0.0272328951702319
2018-10-01,"2018-Q4","wage_self → wage_only",3903.22840699128,14730865.7133255,0.0264969383534629
2018-10-01,"2018-Q4","wage_wage → self_only",3571.58262644637,14730865.7133255,0.0242455718214546
2018-10-01,"2018-Q4","self_self → self_only",3476.24039944478,14730865.7133255,0.0235983442324111
2018-10-01,"2018-Q4","wage_wage → wage_self",985.188809046901,14730865.7133255,0.00668792200145915
2018-10-01,"2018-Q4","self_wage → wage_self",646.178140186129,14730865.7133255,0.00438655916604817
2018-10-01,"2018-Q4","self_self → wage_self",395.996510849198,14730865.7133255,0.00268820935955569
2019-01-01,"2019-Q1","No transition",10287766.9452722,14672491.7188612,70.1160180724277
2019-01-01,"2019-Q1","wage_only → self_wage",35675.2808114972,14672491.7188612,0.243143983278841
2019-01-01,"2019-Q1","wage_only → wage_wage",28044.0714922248,14672491.7188612,0.191133667202379
2019-01-01,"2019-Q1","wage_wage → wage_only",24008.9505501173,14672491.7188612,0.163632401436316
2019-01-01,"2019-Q1","self_wage → wage_only",19159.9624222614,14672491.7188612,0.130584244240068
2019-01-01,"2019-Q1","wage_only → self_only",16187.9072617042,14672491.7188612,0.110328276695464
2019-01-01,"2019-Q1","wage_only → wage_self",11955.2867172474,14672491.7188612,0.0814809573337779
2019-01-01,"2019-Q1","wage_wage → self_wage",6679.66641713298,14672491.7188612,0.0455250992477739
2019-01-01,"2019-Q1","wage_self → wage_only",6659.74955591535,14672491.7188612,0.0453893563787422
2019-01-01,"2019-Q1","self_only → wage_only",6573.10724320065,14672491.7188612,0.0447988478654313
2019-01-01,"2019-Q1","self_only → wage_wage",4980.79699867184,14672491.7188612,0.0339464972556032
2019-01-01,"2019-Q1","wage_self → self_only",3962.40978711545,14672491.7188612,0.0270057047094587
2019-01-01,"2019-Q1","wage_wage → self_only",3451.79266664924,14672491.7188612,0.0235256065076665
2019-01-01,"2019-Q1","self_only → self_self",3293.20211692151,14672491.7188612,0.0224447365861394
2019-01-01,"2019-Q1","self_wage → wage_wage",2858.39415864771,14672491.7188612,0.0194813138314694
2019-01-01,"2019-Q1","wage_wage → wage_self",1861.7293277424,14672491.7188612,0.0126885696268561
2019-01-01,"2019-Q1","self_only → wage_self",1683.30254731757,14672491.7188612,0.0114725063715913
2019-01-01,"2019-Q1","wage_self → wage_wage",1333.02391052038,14672491.7188612,0.00908519109134546
2019-01-01,"2019-Q1","wage_self → self_self",742.055721980817,14672491.7188612,0.00505746219660099
2019-01-01,"2019-Q1","self_wage → wage_self",615.626677257726,14672491.7188612,0.00419578820730462
2019-01-01,"2019-Q1","self_self → self_only",504.451949940456,14672491.7188612,0.00343807963641235
2019-01-01,"2019-Q1","self_only → self_wage",426.393031437856,14672491.7188612,0.00290607103147815
2019-04-01,"2019-Q2","No transition",10457223.0715777,14752008.4686768,70.8867751383257
2019-04-01,"2019-Q2","wage_only → self_wage",34757.611635532,14752008.4686768,0.235612741880765
2019-04-01,"2019-Q2","wage_only → wage_wage",30331.647120717,14752008.4686768,0.205610288152428
2019-04-01,"2019-Q2","self_wage → wage_only",16932.8911939149,14752008.4686768,0.114783632546502
2019-04-01,"2019-Q2","wage_only → wage_self",16131.8696187977,14752008.4686768,0.109353717177229
2019-04-01,"2019-Q2","wage_wage → wage_only",12564.0272661868,14752008.4686768,0.0851682487361921
2019-04-01,"2019-Q2","self_only → self_self",7957.91493510347,14752008.4686768,0.0539446201647772
2019-04-01,"2019-Q2","self_only → wage_wage",7719.65730181122,14752008.4686768,0.0523295340983738
2019-04-01,"2019-Q2","wage_only → self_only",6978.14161526039,14752008.4686768,0.0473029935556043
2019-04-01,"2019-Q2","wage_wage → self_wage",6184.15803300933,14752008.4686768,0.0419207868958336
2019-04-01,"2019-Q2","self_only → wage_only",6151.22803714493,14752008.4686768,0.0416975630823826
2019-04-01,"2019-Q2","wage_self → wage_only",3910.9318606724,14752008.4686768,0.0265111823178285
2019-04-01,"2019-Q2","wage_wage → wage_self",2606.45253442011,14752008.4686768,0.0176684587726101
2019-04-01,"2019-Q2","wage_wage → self_only",2215.23095345231,14752008.4686768,0.0150164701854391
2019-04-01,"2019-Q2","wage_self → self_only",2127.713510536,14752008.4686768,0.0144232123717514
2019-04-01,"2019-Q2","self_self → self_only",1895.17233381314,14752008.4686768,0.0128468766665718
2019-04-01,"2019-Q2","self_wage → wage_wage",1453.10195592299,14752008.4686768,0.00985019740876903
2019-04-01,"2019-Q2","self_only → wage_self",556.95553042076,14752008.4686768,0.00377545560391559
2019-04-01,"2019-Q2","self_only → self_wage",378.723740001764,14752008.4686768,0.00256726899802095
2019-07-01,"2019-Q3","No transition",10178758.663191,14674924.4042205,69.3615747707949
2019-07-01,"2019-Q3","wage_only → wage_wage",33030.8921933112,14674924.4042205,0.22508390015155
2019-07-01,"2019-Q3","wage_only → self_wage",31250.3685010735,14674924.4042205,0.212950797157673
2019-07-01,"2019-Q3","self_wage → wage_only",26477.8010898269,14674924.4042205,0.180428875546451
2019-07-01,"2019-Q3","wage_wage → wage_only",15603.7498803124,14674924.4042205,0.106329337381968
