"category_var","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4"
"Non-Entrepreneurs - 4",5.45840193051152,5.42435942171519,5.30711303997779,5.62053085636074,5.41692597822264,5.270482753796,5.32108667297465,5.57387536835045,5.3761203564365,5.16757365820588,5.00528424393274,5.05786385093605,5.08476210983257,5.086815521123,5.14483803547344,5.18590230895999,5.2707817911179,5.34197988109964,5.06997974152518,5.37395145299691,5.24070552416404,5.17377540634772,4.89747238200401,4.99599766698374,4.94463536557156,5.03830109524543,4.83604996764722,4.87899822609483,4.67675474553255,4.50598444094414,4.53564924457817,4.62051534765535
"Non-Entrepreneurs - 5",1.01755311599852,1.02874338408677,1.01565777982624,1.01508665988046,0.995496359791443,0.988959195657351,0.901264237571616,0.931935671971905,1.0141934162178,0.986723012986732,1.0158303536483,1.04141868771272,1.12237301095771,1.08365676930463,1.07679065957306,1.12789842233265,1.09934300329642,1.11590267058166,1.08564704897452,1.15273404130342,1.09022415725594,1.09961722308683,1.14005831905304,1.19102552775306,1.18187735378364,1.19358450878624,1.22703347423945,1.20772540316651,1.12871687193018,1.18747476960924,1.1702854805792,1.08285701242253
"Non-Entrepreneurs - 6",7.51238805452564,7.45247419647539,7.41933088103355,7.34345434680342,7.51724203238888,7.62285926712511,7.61595526332072,7.87813149822739,8.1881919285226,8.1639413146499,7.98487723313632,8.01461511618299,8.01928586183647,8.01138250936711,7.84215876822712,8.08767023583577,7.86111684934849,8.12800998033087,8.14864577418018,8.26934787301815,7.93290625779582,8.21696974902485,8.0271668527988,8.41253998188272,8.3847701196094,8.56959985858711,8.51681124018763,8.61478109762108,8.57495150537825,8.51865800288193,8.4553626789995,8.60826611442521
"Non-Entrepreneurs - 7",2.21007260999145,2.23115576027422,2.34282689388478,2.37978590875398,2.44105075393565,2.34556250184968,2.43340593476685,2.4531536177673,2.5620706811506,2.5783942762772,2.6592220720202,2.48394555181761,2.52827177056006,2.45183188952255,2.57534108466051,2.38398339473611,2.59374232118147,2.81699030921761,2.90869043618062,2.80494699581454,2.9665396354284,2.93000940305906,2.91292738929457,2.59864912329247,2.7582308933431,2.82783483742708,2.86938946495818,2.86809973146276,2.97500844208055,2.80897477526013,2.96077524924227,2.94118559169145
"Non-Entrepreneurs - 8",0.976256817627409,0.895484050893687,0.808694124551306,0.829320132855555,0.82618654043794,0.805845860073151,0.82541438339065,0.824472691145853,0.93137576470066,0.918058266090661,0.8725889895692,1.05065373799579,0.956030873086823,1.00732945076522,0.854504291948058,0.968568696219251,0.881937538273745,0.926550330617606,0.940318598093617,0.935570725057259,0.929117530411416,1.02383805544759,0.935644580130004,0.94062396054532,0.999306981745292,0.945477866313296,0.855820701611132,0.980763373851376,1.04547708521446,0.994914564703042,1.16423239243556,1.10108494859663
"Non-Entrepreneurs - 9",0.597351142087525,0.646566568651638,0.700661649051547,0.719896865733746,0.711521412946063,0.721200341168026,0.739164622772405,0.80570602841601,0.674764138711066,0.657902348052556,0.596043048206105,0.559568008033873,0.535811906422657,0.516167674502882,0.566913488932311,0.607727436666581,0.624866427838591,0.6290201933371,0.603129277152649,0.643568287074639,0.640865191455517,0.623440883264092,0.675774260170329,0.641767751121076,0.705076745943186,0.602729260837337,0.633603280358299,0.662236748797104,0.6336210512964,0.595381468154386,0.686949767539681,0.664691561028444
"Non-Entrepreneurs - 99",1.51616399908257,1.42049435257252,1.40998031214135,1.40949891669138,1.41780162764173,1.46568326160416,1.49005879629086,1.4753405729847,1.48998377739635,1.48418349580228,1.51021545415821,1.46485078713033,1.49286349421105,1.49768019339839,1.51093892933871,1.44737890906663,1.49782338255046,1.44990308165676,1.53393568412311,1.55666155850349,1.59428188886686,1.64595780836471,1.75755034967887,1.73409874469631,1.67226655726581,1.64386329513054,1.73998631963632,1.62445242874845,1.6855865871387,1.57240990017932,1.7735052189302,1.7861303554849
"Poly-Entrepreneurs - 1",65.7662506594803,86.0097404092918,100,84.0848582975318,86.9577334238377,88.082202410542,90.206823862047,86.4778240648214,90.5331433197704,80.925593858445,76.6566333541426,75.6625745194953,76.8236278869238,70.9030892339315,65.115487518179,77.4954328674222,76.220499511035,77.9252447978671,72.8470193172427,69.1861374963513,80.0955138618046,73.9405035918384,85.4729600992091,74.4514140281208,77.0692056879764,82.763273774057,72.2346175109959,79.2577948125425,81.4949098969883,77.9758449505807,83.5713420249722,76.8283601883685
"Poly-Entrepreneurs - 10",0,0,0,0,0,0,2.35813707979719,0,0,0,0,0,0,0,0,0,2.18290583163198,1.87217588262186,0,1.57931637018387,0,3.19291141013025,0.562330545036004,0.360174207989401,2.14353553603406,3.82376906760576,3.30990288219176,0.0396633916643331,2.54393782406928,3.35069658145164,3.37086300837285,2.80365917734589
"Poly-Entrepreneurs - 3",0,0,0,0,0,0,3.81872337819698,0,0,7.1331715997598,9.3416478193889,4.43204311776738,10.4178858578123,3.66940848130791,6.20439343275991,17.0999027817264,14.3202045170595,12.2882744975287,11.5904006894455,13.7536353225934,8.68914746112362,8.47250294757134,7.5559116922668,7.10854590456224,13.8899348056199,6.86884184049543,13.8905085122395,0,3.21650868194126,1.38384473141302,5.34221472042774,16.2062669798579
"Poly-Entrepreneurs - 4",0,0,0,4.36900720412829,3.17707699449963,2.77132561096027,0,1.78600729753555,2.10664724941866,0,0,0,2.51118313459,10.278991778359,12.0920892378185,0,0,0,0,0,0,3.09776970104994,3.05985638445887,2.86645005764786,0,0,1.7186150353398,1.68537107191848,2.85736759560168,4.6923509549476,7.71558024622724,4.16171365442769
"Poly-Entrepreneurs - 5",0,0,0,0,0,0,0,3.27797249345883,3.62859300288867,0,3.09801102095789,2.81405368488388,2.43144713168793,2.17764314361903,1.96541191929747,5.40466435085136,3.93138702989627,1.84009059251841,9.09814226055585,9.46450368990044,2.91014164532242,1.83911733836875,0,3.75483949537513,2.7287802730508,2.63918202118779,2.07202678583901,2.49023734531724,3.33561465826089,2.76688598676173,0,0
"Poly-Entrepreneurs - 6",34.2337493405197,13.9902595907082,0,11.5461344983399,9.86518958166265,9.14647197849777,3.61631567995884,8.45819614418418,3.73161642792229,11.9412345417952,7.33446283872025,17.0913286778534,7.81585598898591,2.80330206429946,4.89420632097828,0,3.34500311037732,3.05252953314993,3.22074042412096,3.02300900906341,3.10021727195356,7.47865290180534,0,8.80014375483579,2.13866983785041,1.93317930190884,6.77432927339408,10.5174858371755,6.5516613431386,9.83037679484536,0,0
"Poly-Entrepreneurs - 7",0,0,0,0,0,0,0,0,0,0,3.56924496679037,0,0,0,0,0,0,0,0,0,2.1808104576331,1.97854210923604,3.34894127902919,2.65843255146882,2.02987385946839,1.97175399474517,0,0,0,0,0,0
"Poly-Entrepreneurs - 8",0,0,0,0,0,0,0,0,0,0,0,0,0,10.1675652984832,9.72841157096686,0,0,0,0,0,0,0,0,0,0,0,0,3.64547459677321,0,0,0,0
"Poly-Entrepreneurs - 9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02168469631404,3.24369730863494,2.9933981119076,0,0,0,0,0,0,0,0,0,0,0,0
"Poly-Entrepreneurs - 99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02416930216267,0,0,0,0,0,0,2.36397294460867,0,0,0,0
