"year_quarter","category","ddipl","share"
"2018-Q1","Hybrid Entrepreneurs",4,8.78571689319685
"2018-Q1","Hybrid Entrepreneurs",5,28.1930853564798
"2018-Q1","Non-Entrepreneurs",1,25.2494689814526
"2018-Q1","Non-Entrepreneurs",3,16.0188993391672
"2018-Q1","Non-Entrepreneurs",4,20.2181329910732
"2018-Q1","Non-Entrepreneurs",5,23.3186769199956
"2018-Q1","Non-Entrepreneurs",6,4.61229485444742
"2018-Q1","Non-Entrepreneurs",7,10.5825269138641
"2018-Q1","Poly-Entrepreneurs",1,47.6010126314423
"2018-Q1","Poly-Entrepreneurs",3,33.2152504949905
"2018-Q1","Poly-Entrepreneurs",4,11.9647676891583
"2018-Q1","Poly-Entrepreneurs",5,5.75437195763609
"2018-Q1","Poly-Entrepreneurs",6,1.4645972267728
"2018-Q2","Hybrid Entrepreneurs",3,75.0547022078706
"2018-Q2","Hybrid Entrepreneurs",5,24.9452977921294
"2018-Q2","Non-Entrepreneurs",1,25.3214199386332
"2018-Q2","Non-Entrepreneurs",3,15.9177671905406
"2018-Q2","Non-Entrepreneurs",4,20.4988194199168
"2018-Q2","Non-Entrepreneurs",5,23.1120947523554
"2018-Q2","Non-Entrepreneurs",6,4.5090892698371
"2018-Q2","Non-Entrepreneurs",7,10.640809428717
"2018-Q2","Poly-Entrepreneurs",1,52.7350654287988
"2018-Q2","Poly-Entrepreneurs",3,28.773401202802
"2018-Q2","Poly-Entrepreneurs",4,11.2009344099923
"2018-Q2","Poly-Entrepreneurs",5,5.07976381395776
"2018-Q2","Poly-Entrepreneurs",7,2.21083514444915
"2018-Q3","Hybrid Entrepreneurs",1,13.7212726752715
"2018-Q3","Hybrid Entrepreneurs",3,49.3152232992192
"2018-Q3","Hybrid Entrepreneurs",4,7.87552997199581
"2018-Q3","Hybrid Entrepreneurs",5,29.0879740535135
"2018-Q3","Non-Entrepreneurs",1,25.468764018997
"2018-Q3","Non-Entrepreneurs",3,16.0072238232956
"2018-Q3","Non-Entrepreneurs",4,20.7326099366056
"2018-Q3","Non-Entrepreneurs",5,22.781232662674
"2018-Q3","Non-Entrepreneurs",6,4.42923570641337
"2018-Q3","Non-Entrepreneurs",7,10.5809338520145
"2018-Q3","Poly-Entrepreneurs",1,42.5717451500718
"2018-Q3","Poly-Entrepreneurs",3,23.9738790831791
"2018-Q3","Poly-Entrepreneurs",4,14.003019949075
"2018-Q3","Poly-Entrepreneurs",5,8.26296534246633
"2018-Q3","Poly-Entrepreneurs",7,11.1883904752077
"2018-Q4","Hybrid Entrepreneurs",1,19.9143218131377
"2018-Q4","Hybrid Entrepreneurs",3,34.0877685556181
"2018-Q4","Hybrid Entrepreneurs",4,8.64921484126144
"2018-Q4","Hybrid Entrepreneurs",5,37.3486947899827
"2018-Q4","Non-Entrepreneurs",1,26.098471622085
"2018-Q4","Non-Entrepreneurs",3,15.9679993078408
"2018-Q4","Non-Entrepreneurs",4,20.4150053915491
"2018-Q4","Non-Entrepreneurs",5,22.8420745696891
"2018-Q4","Non-Entrepreneurs",6,4.31135429102171
"2018-Q4","Non-Entrepreneurs",7,10.3650948178143
"2018-Q4","Poly-Entrepreneurs",1,51.3200605564182
"2018-Q4","Poly-Entrepreneurs",3,13.2156459396605
"2018-Q4","Poly-Entrepreneurs",4,22.6115973934144
"2018-Q4","Poly-Entrepreneurs",5,7.89779278280287
"2018-Q4","Poly-Entrepreneurs",7,4.95490332770399
"2019-Q1","Hybrid Entrepreneurs",3,15.1214832783331
"2019-Q1","Hybrid Entrepreneurs",4,15.1214832783331
"2019-Q1","Hybrid Entrepreneurs",5,69.7570334433338
"2019-Q1","Non-Entrepreneurs",1,26.5592658398377
"2019-Q1","Non-Entrepreneurs",3,16.2675309960287
"2019-Q1","Non-Entrepreneurs",4,20.6175774083024
"2019-Q1","Non-Entrepreneurs",5,22.5606223219804
"2019-Q1","Non-Entrepreneurs",6,4.05230202778093
"2019-Q1","Non-Entrepreneurs",7,9.94270140606984
"2019-Q1","Poly-Entrepreneurs",1,37.2122300938848
"2019-Q1","Poly-Entrepreneurs",3,20.5716161774813
"2019-Q1","Poly-Entrepreneurs",4,20.6514645385102
"2019-Q1","Poly-Entrepreneurs",5,12.2579563290407
"2019-Q1","Poly-Entrepreneurs",6,3.43049246217024
"2019-Q1","Poly-Entrepreneurs",7,5.87624039891281
"2019-Q2","Hybrid Entrepreneurs",1,24.3173248301405
"2019-Q2","Hybrid Entrepreneurs",3,22.7831341944625
"2019-Q2","Hybrid Entrepreneurs",5,52.8995409753971
"2019-Q2","Non-Entrepreneurs",1,26.4749668472417
"2019-Q2","Non-Entrepreneurs",3,16.083741042079
"2019-Q2","Non-Entrepreneurs",4,20.6435356730823
"2019-Q2","Non-Entrepreneurs",5,22.7483762409185
"2019-Q2","Non-Entrepreneurs",6,4.11889471327881
"2019-Q2","Non-Entrepreneurs",7,9.93048548339966
"2019-Q2","Poly-Entrepreneurs",1,42.0533190472002
"2019-Q2","Poly-Entrepreneurs",3,27.6862563313182
"2019-Q2","Poly-Entrepreneurs",4,18.11482690859
"2019-Q2","Poly-Entrepreneurs",5,8.7705835048413
"2019-Q2","Poly-Entrepreneurs",6,2.91372850051582
"2019-Q2","Poly-Entrepreneurs",7,0.461285707534392
"2019-Q3","Hybrid Entrepreneurs",1,23.5766449437933
"2019-Q3","Hybrid Entrepreneurs",3,42.0205216506311
"2019-Q3","Hybrid Entrepreneurs",5,34.4028334055755
"2019-Q3","Non-Entrepreneurs",1,26.2836491793195
"2019-Q3","Non-Entrepreneurs",3,16.3109957809967
"2019-Q3","Non-Entrepreneurs",4,20.70678920506
"2019-Q3","Non-Entrepreneurs",5,22.6967079694193
"2019-Q3","Non-Entrepreneurs",6,4.18055577325396
"2019-Q3","Non-Entrepreneurs",7,9.82130209195052
"2019-Q3","Poly-Entrepreneurs",1,40.658819988494
"2019-Q3","Poly-Entrepreneurs",3,7.90454550848248
"2019-Q3","Poly-Entrepreneurs",4,17.0095538104167
"2019-Q3","Poly-Entrepreneurs",5,15.0777853684951
"2019-Q3","Poly-Entrepreneurs",6,7.77044467028985
"2019-Q3","Poly-Entrepreneurs",7,11.5788506538218
"2019-Q4","Hybrid Entrepreneurs",1,45.0411772003105
"2019-Q4","Hybrid Entrepreneurs",3,32.6853044324171
"2019-Q4","Hybrid Entrepreneurs",5,22.2735183672724
"2019-Q4","Non-Entrepreneurs",1,26.8624165797643
"2019-Q4","Non-Entrepreneurs",3,16.3303099017333
"2019-Q4","Non-Entrepreneurs",4,20.3520671096201
"2019-Q4","Non-Entrepreneurs",5,22.2425637867072
"2019-Q4","Non-Entrepreneurs",6,4.33646835524799
"2019-Q4","Non-Entrepreneurs",7,9.8761742669271
"2019-Q4","Poly-Entrepreneurs",1,47.050440024376
"2019-Q4","Poly-Entrepreneurs",3,12.0998560967609
"2019-Q4","Poly-Entrepreneurs",4,12.6400973809088
"2019-Q4","Poly-Entrepreneurs",5,14.4625406177157
"2019-Q4","Poly-Entrepreneurs",6,10.88413064259
"2019-Q4","Poly-Entrepreneurs",7,2.86293523764869
"2020-Q1","Hybrid Entrepreneurs",1,57.7380394443863
"2020-Q1","Hybrid Entrepreneurs",3,26.2395103472666
"2020-Q1","Hybrid Entrepreneurs",5,16.0224502083471
"2020-Q1","Non-Entrepreneurs",1,27.4125107372036
"2020-Q1","Non-Entrepreneurs",3,16.3382907560597
"2020-Q1","Non-Entrepreneurs",4,20.3028930273776
"2020-Q1","Non-Entrepreneurs",5,21.9536860851909
"2020-Q1","Non-Entrepreneurs",6,4.50415274781116
"2020-Q1","Non-Entrepreneurs",7,9.48846664635711
"2020-Q1","Poly-Entrepreneurs",1,45.6062904469877
"2020-Q1","Poly-Entrepreneurs",3,9.58766220965511
"2020-Q1","Poly-Entrepreneurs",4,19.9927400009322
"2020-Q1","Poly-Entrepreneurs",5,9.64942146454653
"2020-Q1","Poly-Entrepreneurs",6,10.8912524552588
"2020-Q1","Poly-Entrepreneurs",7,4.27263342261964
"2020-Q2","Hybrid Entrepreneurs",1,47.0078863918021
"2020-Q2","Hybrid Entrepreneurs",3,6.36590705642669
"2020-Q2","Hybrid Entrepreneurs",4,33.2577670250234
"2020-Q2","Hybrid Entrepreneurs",5,13.3684395267478
"2020-Q2","Non-Entrepreneurs",1,28.5015992301529
"2020-Q2","Non-Entrepreneurs",3,16.5664157729655
"2020-Q2","Non-Entrepreneurs",4,20.0965279640803
"2020-Q2","Non-Entrepreneurs",5,21.4412469033026
"2020-Q2","Non-Entrepreneurs",6,4.19760577676702
"2020-Q2","Non-Entrepreneurs",7,9.19660435273166
"2020-Q2","Poly-Entrepreneurs",1,51.6806326679834
"2020-Q2","Poly-Entrepreneurs",3,7.58160582107944
"2020-Q2","Poly-Entrepreneurs",4,21.744882718652
"2020-Q2","Poly-Entrepreneurs",5,6.12866406251259
"2020-Q2","Poly-Entrepreneurs",6,9.69489016860707
"2020-Q2","Poly-Entrepreneurs",7,3.1693245611655
"2020-Q3","Hybrid Entrepreneurs",1,42.2428998593297
"2020-Q3","Hybrid Entrepreneurs",3,6.68813104414633
"2020-Q3","Hybrid Entrepreneurs",4,51.0689690965239
"2020-Q3","Non-Entrepreneurs",1,28.13420541372
"2020-Q3","Non-Entrepreneurs",3,16.236032942389
"2020-Q3","Non-Entrepreneurs",4,20.487905297026
"2020-Q3","Non-Entrepreneurs",5,21.4751912623258
"2020-Q3","Non-Entrepreneurs",6,4.27092495487883
"2020-Q3","Non-Entrepreneurs",7,9.39574012966033
"2020-Q3","Poly-Entrepreneurs",1,58.0576572508897
"2020-Q3","Poly-Entrepreneurs",3,6.80430370218127
"2020-Q3","Poly-Entrepreneurs",4,18.2270227733972
"2020-Q3","Poly-Entrepreneurs",5,6.7577974532978
"2020-Q3","Poly-Entrepreneurs",6,6.87144280591516
"2020-Q3","Poly-Entrepreneurs",7,3.28177601431883
"2020-Q4","Hybrid Entrepreneurs",1,58.3036898868641
"2020-Q4","Hybrid Entrepreneurs",4,17.5197554077614
"2020-Q4","Hybrid Entrepreneurs",7,24.1765547053745
"2020-Q4","Non-Entrepreneurs",1,28.5555004672716
"2020-Q4","Non-Entrepreneurs",3,16.3639391190671
"2020-Q4","Non-Entrepreneurs",4,20.3264308267775
"2020-Q4","Non-Entrepreneurs",5,21.4441587545488
"2020-Q4","Non-Entrepreneurs",6,4.23246245869789
"2020-Q4","Non-Entrepreneurs",7,9.07750837363718
"2020-Q4","Poly-Entrepreneurs",1,47.970250822002
"2020-Q4","Poly-Entrepreneurs",3,16.8812985127782
"2020-Q4","Poly-Entrepreneurs",4,23.4975308383526
"2020-Q4","Poly-Entrepreneurs",5,3.95453471245325
"2020-Q4","Poly-Entrepreneurs",6,4.82402832174117
"2020-Q4","Poly-Entrepreneurs",7,2.87235679267274
